half_window,metric,break_date,delta_pp
126,us_trade_share,2022-09-16,0.7792024604357906
126,us_trade_share,2022-09-23,0.17741042493051307
126,us_trade_share,2022-09-30,-0.37045815217771616
126,us_trade_share,2022-10-07,-0.6107358518255279
126,us_trade_share,2022-10-14,-1.394634828827579
126,us_trade_share,2022-10-21,-1.6230525989251121
126,us_trade_share,2022-10-28,-1.2377065272007715
126,us_trade_share,2022-11-04,-0.8894900783229853
126,us_trade_share,2022-11-11,-0.8485345184645221
126,us_trade_share,2022-11-18,-0.20867409265943881
126,us_trade_share,2022-11-28,0.8089770156822718
126,us_trade_share,2022-12-05,1.609982485233541
126,us_trade_share,2022-12-12,1.609982485233541
126,us_trade_share,2022-12-19,2.218431193213022
126,us_trade_share,2022-12-27,2.68419268613872
126,us_trade_share,2023-01-04,3.0192245447832997
126,us_trade_share,2023-01-11,2.7065084025053086
126,us_trade_share,2023-01-19,2.968334628768421
126,us_trade_share,2023-01-26,2.9541975437821777
126,us_trade_share,2023-02-02,3.338575753284662
126,us_trade_share,2023-02-09,3.4551247292313847
126,us_trade_share,2023-02-16,3.316554450722242
126,us_trade_share,2023-02-24,2.9916164178391713
126,us_trade_share,2023-03-03,3.499390938275637
126,us_trade_share,2023-03-10,3.6044948596575144
126,us_trade_share,2023-03-17,3.2841916995857146
126,us_trade_share,2023-03-27,3.010960696446663
126,us_trade_share,2023-04-03,3.6044948596575144
126,us_trade_share,2023-04-11,3.9324373373080643
126,us_trade_share,2023-04-18,4.592556037602496
126,us_trade_share,2023-04-25,4.340315453845384
126,us_trade_share,2023-05-02,4.3878360304423545
126,us_trade_share,2023-05-09,3.676435393561178
126,us_trade_share,2023-05-16,3.566034398461504
126,us_trade_share,2023-05-23,4.200782138635429
126,us_trade_share,2023-05-31,3.6307855172926007
126,us_trade_share,2023-06-07,3.0797968831382914
126,us_trade_share,2023-06-14,2.5912540570623586
126,us_trade_share,2023-06-22,1.913520383306433
126,us_trade_share,2023-06-29,0.9795938788213054
126,us_trade_share,2023-07-07,0.9705906025073874
126,us_variance_share,2022-07-14,0.3458818517665607
126,us_variance_share,2022-07-21,1.7543471748212913
126,us_variance_share,2022-07-28,1.3072400482404989
126,us_variance_share,2022-08-04,2.6024577919854797
126,us_variance_share,2022-08-11,4.28685341305306
126,us_variance_share,2022-08-18,5.255777713125632
126,us_variance_share,2022-08-25,5.405174862369427
126,us_variance_share,2022-09-01,4.720350998841671
126,us_variance_share,2022-09-09,4.789583860335167
126,us_variance_share,2022-09-16,4.849200708885198
126,us_variance_share,2022-09-23,3.7640817491423784
126,us_variance_share,2022-09-30,3.228821298147899
126,us_variance_share,2022-10-07,2.3065766234315888
126,us_variance_share,2022-10-14,2.0536887662986336
126,us_variance_share,2022-10-21,2.214030384559462
126,us_variance_share,2022-10-28,3.0214787753645442
126,us_variance_share,2022-11-04,3.4271427536147314
126,us_variance_share,2022-11-11,3.615658826991053
126,us_variance_share,2022-11-18,4.863071626282184
126,us_variance_share,2022-11-28,5.681502409297378
126,us_variance_share,2022-12-05,7.607498637861088
126,us_variance_share,2022-12-12,6.5059459429424145
126,us_variance_share,2022-12-19,7.594339369526571
126,us_variance_share,2022-12-27,7.350874774075344
126,us_variance_share,2023-01-04,6.378718877701727
126,us_variance_share,2023-01-11,5.518266696831886
126,us_variance_share,2023-01-19,6.036321375990234
126,us_variance_share,2023-01-26,5.7604372421446115
126,us_variance_share,2023-02-02,5.439004844679346
126,us_variance_share,2023-02-09,3.8565745288696
126,us_variance_share,2023-02-16,3.1223675535257565
126,us_variance_share,2023-02-24,3.1101042978977036
126,us_variance_share,2023-03-03,3.9439222318908396
126,us_variance_share,2023-03-10,3.4967682163826064
126,us_variance_share,2023-03-17,3.61773537638429
126,us_variance_share,2023-03-27,4.063395678448922
126,us_variance_share,2023-04-03,4.692451279004506
126,us_variance_share,2023-04-11,5.821571589607688
126,us_variance_share,2023-04-18,6.351260971137773
126,us_variance_share,2023-04-25,5.426658254348348
126,us_variance_share,2023-05-02,5.614226803065692
126,us_variance_share,2023-05-09,5.679546111481304
126,us_variance_share,2023-05-16,4.888131554594088
126,us_variance_share,2023-05-23,4.5970880797513995
126,us_variance_share,2023-05-31,4.855094433737673
126,us_variance_share,2023-06-07,2.374689697570831
126,us_variance_share,2023-06-14,3.1464694829266557
126,us_variance_share,2023-06-22,1.991068176141353
126,us_variance_share,2023-06-29,1.4508958890930068
126,us_variance_share,2023-07-07,1.7862267340492788
126,us_abs_return_share,2022-07-14,0.9792615149019079
126,us_abs_return_share,2022-07-21,1.2960706966944735
126,us_abs_return_share,2022-07-28,1.1299628392427596
126,us_abs_return_share,2022-08-04,1.2960706966944735
126,us_abs_return_share,2022-08-11,1.9435861965268308
126,us_abs_return_share,2022-08-18,2.404278801358167
126,us_abs_return_share,2022-08-25,2.9055740046451506
126,us_abs_return_share,2022-09-01,2.298778947478702
126,us_abs_return_share,2022-09-09,1.6727295336843584
126,us_abs_return_share,2022-09-16,1.8504855861196101
126,us_abs_return_share,2022-09-23,1.2309966826722474
126,us_abs_return_share,2022-09-30,0.870132925187006
126,us_abs_return_share,2022-10-07,0.5279251133877838
126,us_abs_return_share,2022-10-14,0.41436878876446315
126,us_abs_return_share,2022-10-21,0.41436878876446315
126,us_abs_return_share,2022-10-28,0.41436878876446315
126,us_abs_return_share,2022-11-04,0.34776425570833824
126,us_abs_return_share,2022-11-11,0.34776425570833824
126,us_abs_return_share,2022-11-18,0.7181000545243177
126,us_abs_return_share,2022-11-28,1.6248961096526404
126,us_abs_return_share,2022-12-05,2.2499811764415845
126,us_abs_return_share,2022-12-12,1.9632513852423428
126,us_abs_return_share,2022-12-19,2.3892401446013345
126,us_abs_return_share,2022-12-27,2.2634855380434304
126,us_abs_return_share,2023-01-04,1.9442919676941006
126,us_abs_return_share,2023-01-11,1.5224674806741056
126,us_abs_return_share,2023-01-19,1.5816994411670504
126,us_abs_return_share,2023-01-26,1.4933025771114994
126,us_abs_return_share,2023-02-02,1.6675227822108674
126,us_abs_return_share,2023-02-09,1.018467019577618
126,us_abs_return_share,2023-02-16,0.7118476655768369
126,us_abs_return_share,2023-02-24,0.6273564584251323
126,us_abs_return_share,2023-03-03,1.0981734619949834
126,us_abs_return_share,2023-03-10,1.0981734619949834
126,us_abs_return_share,2023-03-17,0.9204174095597317
126,us_abs_return_share,2023-03-27,1.0981734619949834
126,us_abs_return_share,2023-04-03,1.5200339459333079
126,us_abs_return_share,2023-04-11,2.298492600752816
126,us_abs_return_share,2023-04-18,2.500372567557807
126,us_abs_return_share,2023-04-25,2.2802210153350435
126,us_abs_return_share,2023-05-02,2.573213771561267
126,us_abs_return_share,2023-05-09,2.821103706975947
126,us_abs_return_share,2023-05-16,2.476713441933404
126,us_abs_return_share,2023-05-23,2.3749225948491826
126,us_abs_return_share,2023-05-31,2.023462975082746
126,us_abs_return_share,2023-06-07,1.695464967977206
126,us_abs_return_share,2023-06-14,1.9229965545195293
126,us_abs_return_share,2023-06-22,1.3132648310539952
126,us_abs_return_share,2023-06-29,0.6790074682575586
126,us_abs_return_share,2023-07-07,1.163427278606255
189,us_volume_share,2022-10-12,0.7639809317969593
189,us_volume_share,2022-10-19,0.30337464612804066
189,us_volume_share,2022-10-26,-0.011836947610421866
189,us_volume_share,2022-11-02,-0.09937125796085078
189,us_volume_share,2022-11-09,0.1754538871813649
189,us_volume_share,2022-11-16,0.5336208931633779
189,us_volume_share,2022-11-23,1.3809821816620216
189,us_volume_share,2022-12-01,2.4474654064050085
189,us_volume_share,2022-12-08,3.149160286126129
189,us_volume_share,2022-12-15,3.0587011330847513
189,us_volume_share,2022-12-22,3.1041235986999762
189,us_volume_share,2022-12-30,3.519954992178559
189,us_volume_share,2023-01-09,3.7850368801985335
189,us_volume_share,2023-01-17,3.8305679631335243
189,us_volume_share,2023-01-24,3.6461283357696384
189,us_volume_share,2023-01-31,3.9187921980896157
189,us_volume_share,2023-02-07,4.153046308839375
189,us_volume_share,2023-02-14,4.016317798017926
189,us_volume_share,2023-02-22,4.086260376405548
189,us_volume_share,2023-03-01,4.086260376405548
189,us_volume_share,2023-03-08,4.016317798017926
189,us_volume_share,2023-03-15,4.016317798017926
189,us_volume_share,2023-03-22,3.926505308123568
189,us_volume_share,2023-03-30,3.233832543384263
189,us_volume_share,2023-04-06,3.2171598747391505
189,us_trade_share,2022-10-12,0.4926308794663936
189,us_trade_share,2022-10-19,0.31347436351205626
189,us_trade_share,2022-10-26,0.05275031802217112
189,us_trade_share,2022-11-02,0.025942034870607422
189,us_trade_share,2022-11-09,0.29770561435382703
189,us_trade_share,2022-11-16,1.1925671828147855
189,us_trade_share,2022-11-23,1.5817555534300642
189,us_trade_share,2022-12-01,1.9025262319055214
189,us_trade_share,2022-12-08,2.1226799823173605
